Dependent-Company Status,Age of company in years,Internet Activity Score,Employee Count,Has the team size grown,Country of company,Number of Investors in Seed,Number of Investors in Angel and or VC,Number of Co-founders,Number of of advisors,Team size Senior leadership,Team size all employees,Number of of repeat investors,Worked in top companies,Average size of companies worked for in the past,Have been part of startups in the past?,Was he or she partner in Big 5 consulting?,Consulting experience?,Product or service company?,Catering to product/service across verticals,Focus on consumer data?,Subscription based business,Local or global player,Linear or Non-linear business model,B2C or B2B venture?,Top forums talked about,Average Years of experience for founder and co founder,Exposure across the globe,Breadth of experience across verticals,Years of education,Relevance of experience to venture,Experience in selling and building products,Experience in Fortune 500 organizations,Skills score,Team Composition score,Dificulty of Obtaining Work force,Pricing Strategy,Company awards,google page rank of company website,Solutions offered,Invested through global incubation competitions?,Number of Direct competitors,Renown score
1,2.0,46.0,6.0,1,1,4.0,0.0,2,3,2,4.0,1,0.0,0,1,0,0.0,1,1,1,1,1,0,1,0,1,0,0,1,1,1,0,19.0,0,1,0,0,2439989.0,1,2,0,4.0
1,4.0,33.0,13.0,1,1,24.0,0.0,2,0,4,10.0,4,0.0,1,0,0,0.0,0,0,1,1,0,0,1,0,2,0,1,0,1,1,0,13.0,0,2,0,0,3792883.0,1,0,1,0.0
1,4.0,56.0,7.0,0,1,3.0,0.0,5,0,5,10.0,0,1.0,0,0,0,0.0,0,1,1,1,1,0,1,0,1,1,1,0,1,1,1,13.0,1,1,1,0,4518529.0,1,0,1,5.0
1,2.0,89.0,6.0,0,1,2.0,1.0,2,1,2,7.0,0,0.0,0,1,0,0.0,0,1,0,1,0,0,0,1,2,1,0,1,1,2,0,15.0,0,1,0,0,2219202.0,0,0,1,3.0
1,5.0,69.0,3.0,0,1,2.0,0.0,2,9,3,13.0,0,0.0,0,1,0,1.0,1,1,1,1,0,1,1,0,2,0,0,0,1,2,0,15.0,0,1,1,0,835064.5,1,0,1,5.0
1,3.0,374.0,57.0,1,1,1.0,0.0,0,8,3,57.0,0,0.0,1,0,0,0.0,0,1,0,0,1,1,0,1,2,1,1,1,1,0,0,25.0,0,1,1,0,835064.5,0,2,1,2.0
1,6.0,40.0,12.0,1,1,0.0,0.0,3,0,6,50.0,1,0.0,0,0,0,1.0,1,1,1,1,1,0,1,0,2,1,2,1,1,1,0,25.0,1,2,1,0,2607547.0,1,0,0,9.0
1,2.0,0.0,89.0,1,1,5.0,0.0,2,3,4,200.0,3,0.0,2,1,0,1.0,1,0,0,0,0,0,1,0,2,0,0,1,0,2,0,20.0,1,1,0,1,375492.0,0,0,1,8.0
1,4.0,-24.0,25.0,1,1,0.0,0.0,4,10,6,23.0,0,0.0,0,1,0,0.0,1,0,1,1,1,0,1,0,2,0,0,2,0,1,0,12.0,0,2,1,1,1810474.0,1,0,0,2.0
1,3.0,295.0,35.0,1,1,0.0,1.0,2,2,2,32.0,0,0.0,1,0,0,0.0,1,1,0,1,1,0,1,0,2,0,1,2,0,1,0,25.0,1,2,1,0,221783.0,1,0,0,6.0
1,11.0,111.0,267.0,1,1,0.0,0.0,2,13,14,300.0,0,0.0,1,1,0,0.0,1,0,1,0,1,0,0,0,2,1,1,0,1,1,0,25.0,1,1,0,0,1089377.0,1,0,0,0.0
1,14.0,160.0,594.0,1,1,0.0,0.0,2,0,9,616.0,0,0.0,2,0,0,0.0,0,1,1,1,1,0,1,0,2,1,2,0,1,2,0,51.5,2,2,0,1,213086.0,1,0,0,1.0
0,4.0,0.0,6.0,0,1,0.0,0.0,2,0,2,7.0,3,1.0,0,1,0,0.0,1,1,1,1,0,0,0,0,2,1,1,0,1,1,1,32.0,0,1,1,0,375318.0,0,0,1,5.0
1,3.0,805.0,23.0,1,1,0.0,3.0,2,1,3,28.0,2,0.0,1,1,0,0.0,0,1,0,1,1,0,1,1,2,1,1,0,1,1,0,25.0,0,0,1,0,11967.0,1,0,0,3.0
1,5.0,-129.0,50.0,1,1,0.0,0.0,2,2,4,55.0,3,1.0,2,1,0,0.0,2,0,1,0,1,0,1,1,2,1,1,0,1,1,1,14.0,0,1,1,0,169460.0,1,0,0,0.0
1,5.0,416.0,104.0,1,1,0.0,0.0,3,5,7,115.0,4,0.0,2,0,1,0.0,2,1,0,1,1,0,1,1,2,1,2,1,1,2,0,44.0,2,1,1,0,447301.0,0,0,0,9.0
1,7.0,0.0,8.0,1,1,0.0,2.0,4,3,8,70.0,4,0.0,1,0,0,0.0,0,0,0,1,1,0,1,2,2,1,2,1,1,1,0,26.0,2,1,1,0,835064.5,1,0,1,6.0
1,2.0,888.0,38.0,1,1,10.0,0.0,1,3,4,40.0,2,0.0,1,0,0,0.0,0,1,0,1,1,1,1,0,1,0,0,0,0,0,0,0.0,1,1,1,0,86394.0,0,2,0,4.0
1,3.0,524.0,20.0,1,1,3.0,0.0,2,2,3,30.0,1,0.0,1,0,0,0.0,0,1,0,1,1,1,1,1,2,1,2,0,1,1,0,22.0,1,1,1,0,217103.0,0,0,0,0.0
1,6.0,16.0,16.0,0,1,0.0,1.0,2,2,3,5.0,0,1.0,2,0,0,1.0,1,0,0,0,0,0,1,0,2,1,1,1,1,1,1,25.0,0,2,1,0,12999889.0,1,0,0,4.0
1,2.0,272.0,24.0,0,1,1.0,0.0,2,2,4,15.0,0,1.0,0,1,0,1.0,1,0,1,0,1,1,1,1,2,1,0,1,1,1,0,25.0,1,1,1,0,282991.0,1,0,0,0.0
1,2.0,0.0,43.0,0,1,0.0,1.0,2,0,2,50.0,0,0.0,0,1,0,1.0,0,0,1,0,0,0,1,1,2,1,1,1,1,1,0,15.0,1,2,0,0,835064.5,1,0,0,7.0
1,2.0,124.0,13.0,0,1,2.0,1.0,2,0,2,14.0,0,0.0,1,0,0,1.0,1,0,1,1,0,0,1,0,2,0,0,0,1,1,0,17.0,2,1,1,0,754828.0,0,0,0,6.0
1,5.0,409.0,22.0,1,1,0.0,0.0,2,0,2,50.0,2,1.0,2,0,0,1.0,1,0,0,1,1,0,1,1,2,0,1,0,1,1,1,20.0,0,0,1,0,28597.0,0,0,0,4.0
1,2.0,51.0,31.0,1,1,10.0,0.0,2,1,4,18.0,0,0.0,0,1,0,1.0,0,0,0,0,1,1,1,0,2,1,0,1,1,1,0,25.0,0,0,0,0,761094.0,0,0,0,0.0
1,2.0,388.0,17.0,0,0,0.0,1.0,2,1,2,18.0,0,0.0,2,0,0,1.0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,1,20.0,0,1,1,0,17535.0,0,1,0,1.0
1,2.0,315.0,3.0,0,0,1.0,0.0,2,0,2,4.0,0,0.0,0,1,0,1.0,1,0,0,1,1,1,0,0,1,1,1,0,1,1,0,19.0,0,0,0,0,204716.0,0,0,0,4.0
1,2.0,0.0,5.0,0,1,1.0,0.0,2,0,2,17.0,0,0.0,2,1,0,1.0,1,0,0,0,0,1,0,0,1,0,0,0,1,1,0,6.0,0,0,1,0,835064.5,0,1,1,1.0
1,7.0,0.0,6.0,1,0,0.0,0.0,2,0,1,488.0,0,0.0,0,1,0,1.0,0,1,0,0,1,1,1,1,2,0,1,0,1,1,0,25.0,2,0,1,0,835064.5,1,0,0,4.0
1,5.0,157.0,43.0,1,1,0.0,0.0,4,1,5,39.0,0,0.0,0,1,0,1.0,0,1,0,1,1,0,1,0,2,1,1,0,1,1,0,25.0,1,0,0,1,346300.0,0,0,0,8.0
1,2.0,133.0,41.0,0,0,0.0,4.0,2,0,2,5.0,0,0.0,1,1,0,1.0,0,0,1,1,0,0,1,0,1,0,1,1,1,1,0,0.0,0,0,0,0,1873143.0,0,0,0,1.0
1,1.0,408.0,168.0,0,0,1.0,0.0,2,0,2,6.0,0,0.0,0,1,0,1.0,1,1,0,1,1,0,1,1,1,0,0,0,1,1,0,25.0,0,1,1,0,63274.0,0,0,0,4.0
1,3.0,239.0,27.0,0,0,2.0,0.0,4,0,4,4.0,0,0.0,0,1,0,1.0,1,0,1,1,1,0,1,1,2,0,0,0,1,1,0,25.0,0,1,1,0,1275090.0,1,0,0,0.0
1,5.0,43.0,6.0,0,0,0.0,6.0,3,0,5,10.0,0,0.0,0,1,0,1.0,0,1,1,1,1,0,0,0,2,0,1,1,1,1,0,18.0,0,1,1,0,1766890.0,0,0,1,2.0
1,3.0,8.0,20.0,0,0,1.0,0.0,0,0,3,6.0,0,0.0,1,0,0,1.0,1,0,1,0,1,0,1,0,2,0,0,1,0,1,0,25.0,1,1,1,0,835064.5,0,1,0,0.0
1,2.0,217.0,2.0,0,0,0.0,1.0,3,0,3,3.0,0,0.0,2,0,0,1.0,1,1,1,0,1,0,1,0,1,1,1,1,1,1,1,25.0,0,2,0,1,2278656.0,1,0,0,3.0
1,4.0,64.0,14.0,0,0,2.0,0.0,2,0,3,4.0,0,0.0,2,0,0,1.0,1,0,0,0,1,0,1,0,1,0,0,1,0,1,0,18.0,0,1,0,1,1505714.0,0,2,0,0.0
1,1.0,181.0,9.0,0,0,2.0,0.0,2,0,3,10.0,0,0.0,0,1,0,1.0,0,0,0,0,0,0,1,0,2,1,1,1,1,1,0,25.0,2,2,0,0,1668553.0,0,0,1,1.0
1,2.0,-34.0,7.0,0,0,0.0,1.0,2,0,5,5.0,0,0.0,0,1,0,1.0,1,0,1,1,0,0,0,0,1,0,0,1,1,1,0,19.0,1,0,1,0,4095647.0,0,0,0,4.0
1,2.0,14.0,13.0,1,0,2.0,0.0,2,0,2,50.0,1,0.0,2,1,0,1.0,0,1,0,0,0,0,1,0,1,1,0,0,0,0,0,18.0,0,0,1,0,1652983.0,0,0,1,2.0
1,2.0,398.0,11.0,0,0,0.0,0.0,4,0,3,10.0,0,0.0,2,0,0,1.0,0,0,1,0,1,0,0,0,1,1,0,1,1,0,0,14.0,0,0,1,0,235406.0,0,0,1,4.0
1,4.0,372.0,41.0,0,0,3.0,0.0,3,0,3,50.0,0,0.0,1,1,0,0.0,0,1,1,1,1,1,1,0,1,1,0,2,1,2,0,19.0,2,1,1,0,163353.0,0,0,0,7.0
1,4.0,-8.0,4.0,1,0,0.0,0.0,3,1,2,50.0,0,0.0,2,0,0,1.0,1,1,0,1,1,1,1,1,2,1,2,2,1,0,1,6.0,2,1,1,1,5620837.0,1,0,0,2.0
1,4.0,263.0,18.0,1,0,2.0,0.0,2,0,3,50.0,0,0.0,2,1,1,1.0,0,1,0,1,1,0,1,0,2,1,1,2,1,1,0,5.0,0,1,0,0,962657.0,0,0,1,1.0
1,2.0,1.0,34.0,1,0,0.0,0.0,2,0,7,10.0,0,0.0,0,1,0,1.0,1,0,0,1,1,1,0,1,2,1,0,0,1,2,1,10.0,0,1,0,1,6222945.0,1,0,1,6.0
1,3.0,42.0,11.0,0,0,0.0,1.0,5,2,5,50.0,0,0.0,0,0,0,0.0,0,1,0,0,1,1,1,0,2,1,1,1,1,1,0,44.0,2,2,0,0,2281937.0,0,0,1,3.0
1,3.0,138.0,14.0,1,0,2.0,0.0,2,0,2,50.0,0,0.0,0,1,1,0.0,0,1,0,1,1,1,1,0,1,1,0,0,0,0,1,27.0,1,0,0,0,346554.0,1,0,0,6.0
1,3.0,401.0,18.0,1,0,2.0,3.0,4,0,2,10.0,0,0.0,0,0,1,1.0,0,1,0,1,1,0,1,1,2,1,0,1,0,0,1,24.0,1,1,1,0,7917.0,1,0,1,0.0
1,3.0,-77.0,45.0,0,0,1.0,0.0,2,0,1,50.0,0,0.0,2,1,0,0.0,0,1,0,1,0,0,0,0,2,1,0,1,0,1,1,9.0,2,0,1,0,4996181.0,1,0,1,2.0
1,4.0,-103.0,6.0,0,0,2.0,0.0,3,1,3,50.0,0,0.0,0,1,0,0.0,0,0,0,1,0,0,1,0,2,1,1,1,1,2,1,30.0,2,0,1,1,312361.0,1,0,1,5.0
1,5.0,-2.0,20.0,0,0,0.0,0.0,2,3,5,50.0,0,0.0,1,1,0,1.0,0,1,0,1,0,1,1,0,2,0,1,2,1,1,0,37.0,0,1,0,1,44436.0,0,0,0,7.0
1,3.0,261.0,11.0,0,0,6.0,0.0,2,0,2,10.0,1,0.0,0,1,0,0.0,0,1,0,1,0,0,0,0,2,0,1,1,1,1,0,49.0,0,2,0,0,1447733.0,1,0,0,2.0
1,1.0,763.0,10.0,1,0,9.0,0.0,2,0,4,50.0,0,0.0,0,1,0,1.0,0,0,0,1,1,1,1,0,2,0,2,1,1,1,0,37.0,0,2,0,0,163851.0,1,2,0,3.0
1,4.0,-13.0,6.0,0,1,0.0,0.0,0,0,6,10.0,0,1.0,0,1,0,0.0,0,1,1,0,1,0,0,1,2,1,1,1,0,1,0,10.0,0,1,0,0,7355795.0,1,2,1,1.0
1,3.0,293.0,28.0,1,1,0.0,0.0,0,0,12,50.0,0,0.0,2,1,0,0.0,1,0,1,0,1,1,1,1,1,0,1,2,1,2,1,0.0,2,1,0,0,835064.5,0,0,1,3.0
1,4.0,126.0,25.0,1,1,0.0,4.0,3,2,8,28.0,0,0.0,0,1,0,0.0,0,0,0,0,0,0,1,0,2,1,1,1,1,1,1,19.0,1,1,0,0,46550.0,1,0,0,3.0
1,7.0,9.0,7.0,1,0,0.0,2.0,2,2,12,88.0,0,1.0,2,1,1,1.0,0,0,1,1,1,1,1,0,0,0,1,0,1,2,1,25.0,0,0,0,0,835064.5,1,0,0,0.0
1,12.0,123.0,31.0,0,1,0.0,2.0,0,0,2,50.0,0,0.0,2,1,1,1.0,0,1,1,0,0,0,1,0,2,0,1,1,1,2,0,24.0,2,1,1,0,2584435.0,1,0,0,4.0
1,3.0,53.0,8.0,0,0,3.0,0.0,2,0,3,8.0,0,0.0,1,0,0,1.0,1,0,0,0,1,0,1,0,0,1,1,1,1,1,0,14.0,1,1,0,0,516830.0,1,2,0,3.0
1,2.0,504.0,34.0,0,0,2.0,0.0,3,1,3,4.0,0,0.0,0,0,0,0.0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,13.0,1,0,1,0,314409.0,0,0,0,0.0
1,2.0,661.0,57.0,1,1,1.0,0.0,4,0,4,315.0,0,0.0,0,1,0,0.0,0,0,1,0,0,1,0,0,1,0,0,0,1,0,0,18.0,2,0,0,0,7665.0,1,0,0,0.0
1,2.0,0.0,14.0,0,1,1.0,0.0,2,0,2,50.0,0,0.0,0,1,0,1.0,1,0,0,0,0,0,0,0,2,0,1,1,1,2,0,21.0,0,0,1,0,835064.5,1,0,0,4.0
1,2.0,220.0,6.0,0,0,3.0,0.0,2,0,4,6.0,0,0.0,1,1,0,1.0,1,0,1,0,0,0,0,0,1,1,1,1,1,2,0,19.0,2,0,0,0,19728.0,1,2,0,2.0
1,2.0,0.0,20.0,0,1,4.0,3.0,2,0,4,11.0,2,0.0,1,0,1,1.0,1,0,0,1,0,1,0,0,2,1,1,1,1,1,0,19.0,1,0,1,0,835064.5,1,0,1,0.0
1,2.0,-2.0,6.0,0,0,0.0,1.0,3,0,3,5.0,0,0.0,0,1,0,1.0,1,1,1,0,1,0,0,0,0,0,1,0,0,0,0,25.0,1,1,1,0,1983752.0,1,0,0,0.0
1,4.0,-34.0,16.0,0,0,0.0,1.0,2,0,4,50.0,0,0.0,0,1,0,0.0,1,0,0,0,1,1,1,0,2,0,1,0,1,1,0,17.0,1,2,0,0,10080538.0,1,0,0,0.0
1,5.0,-26.0,32.0,0,0,1.0,0.0,1,0,1,50.0,0,0.0,1,1,0,0.0,0,1,1,1,1,0,1,0,0,1,1,1,1,2,0,0.0,1,1,0,0,835064.5,1,1,1,1.0
1,5.0,265.0,13.0,0,0,2.0,1.0,0,1,7,10.0,0,0.0,1,1,0,0.0,0,1,1,1,1,0,1,0,2,1,1,1,0,0,0,16.0,0,1,0,0,302399.0,0,0,1,5.0
1,2.0,-2.0,89.0,0,0,3.0,0.0,1,0,2,10.0,0,0.0,0,1,0,0.0,0,1,0,1,0,1,1,0,1,0,1,0,1,0,0,11.0,0,0,0,0,117309.0,0,0,1,0.0
1,6.0,98.0,12.0,0,1,3.0,0.0,3,2,5,20.0,1,0.0,0,1,0,0.0,0,1,1,0,1,0,1,0,1,1,1,0,1,2,0,48.0,2,1,1,1,915558.0,1,0,0,3.0
1,3.0,338.0,12.0,0,1,22.0,0.0,2,0,2,10.0,2,1.0,2,1,0,1.0,0,1,0,0,1,1,1,0,2,1,2,1,1,2,0,19.0,1,1,0,1,431282.0,0,2,0,4.0
1,4.0,-46.0,22.0,0,1,1.0,0.0,1,0,3,10.0,0,0.0,0,1,0,0.0,1,0,1,1,1,0,1,1,2,1,2,1,1,2,0,25.0,1,2,1,0,1370603.0,1,0,0,7.0
1,4.0,16.0,4.0,0,1,1.0,0.0,0,0,3,10.0,0,0.0,0,1,0,1.0,0,0,1,0,0,0,1,0,2,1,1,1,1,2,0,22.0,1,1,1,1,12799600.0,0,0,0,0.0
1,4.0,361.0,8.0,0,1,3.0,0.0,2,1,5,10.0,0,0.0,1,0,0,0.0,2,1,1,0,0,0,1,0,1,1,1,0,1,2,0,13.0,1,1,1,1,91162.0,1,0,1,0.0
1,2.0,98.0,17.0,0,1,5.0,0.0,3,4,4,14.0,0,0.0,2,1,0,0.0,2,0,0,0,1,0,1,0,2,1,2,1,1,2,0,57.5,2,1,1,1,1752170.0,1,0,0,6.0
1,4.0,0.0,4.0,0,0,4.0,0.0,0,0,3,15.0,0,0.0,0,1,0,0.0,1,1,1,0,0,0,1,1,2,1,1,1,1,0,0,23.5,1,1,1,0,544030.0,0,0,0,0.0
1,2.0,161.0,21.0,0,1,8.0,0.0,0,0,4,50.0,0,1.0,2,0,0,1.0,1,1,1,0,0,0,1,1,1,1,2,1,1,2,0,25.0,1,1,1,0,6864799.0,1,0,0,4.0
1,5.0,230.0,8.0,0,1,6.0,0.0,1,2,4,11.0,0,1.0,2,0,0,0.0,2,1,1,0,1,0,1,1,1,1,0,0,1,0,1,16.5,1,1,1,1,64262.0,1,2,0,2.0
1,1.0,0.0,1.0,0,0,1.0,0.0,0,0,3,10.0,0,1.0,2,1,0,1.0,1,1,1,1,1,0,1,0,1,1,0,0,1,2,0,6.5,1,1,1,0,1058457.0,0,0,0,0.0
1,3.0,528.0,12.0,0,1,3.0,0.0,0,4,4,5.0,0,0.0,0,1,0,1.0,1,1,1,1,0,0,1,1,2,1,2,1,1,2,0,14.5,1,1,1,0,194733.0,1,0,0,5.0
1,5.0,512.0,14.0,0,1,0.0,0.0,3,0,4,50.0,0,0.0,1,0,1,1.0,0,1,0,0,0,0,1,0,2,1,1,0,1,2,0,19.5,1,1,1,1,263431.0,0,0,0,5.0
1,9.0,78.0,32.0,0,1,0.0,0.0,2,7,5,10.0,3,0.0,0,1,0,1.0,2,1,0,0,1,0,1,0,2,1,2,0,1,2,0,35.0,2,1,1,1,709728.0,0,0,0,1.0
1,6.0,150.0,22.0,0,1,1.0,0.0,2,1,8,18.0,0,0.0,0,1,0,0.0,1,0,1,0,0,0,0,1,2,1,1,0,1,2,0,17.0,2,0,1,0,29452.0,0,0,1,5.0
